Id;Nombre;Contrasena;PaisFavorito;Puntos;IdsQuinielas;IdsInsignias
1;Carlos;123456;Mexico;0;1,4;
2;Maria;123456;Brasil;0;1,4;
3;Jose;123456;Argentina;0;1;
4;Ana;123456;Espana;0;1;
5;Luis;123456;Francia;0;1;
6;Sofia;123456;Portugal;0;2,4;
7;Diego;123456;Inglaterra;0;2,4;
8;Valentina;123456;Croacia;0;2;
9;Andres;123456;Japon;0;2;
10;Camila;123456;Alemania;0;2;
11;Fernando;123456;Uruguay;0;3;
12;Isabella;123456;Colombia;0;3;
13;Ricardo;123456;Senegal;0;3;
14;Daniela;123456;Ghana;0;3;
15;Miguel;123456;Panama;0;3;
16;Gabriela;123456;Mexico;0;4;
17;Javier;123456;Marruecos;0;4;
18;Paula;123456;Egipto;0;4;
19;Roberto;123456;Noruega;0;4;
20;Laura;123456;Argelia;0;4;
21;Eduardo;123456;Costa de Marfil;0;5;
22;Natalia;123456;Ecuador;0;5;
23;Sergio;123456;Curazao;0;5;
24;Carolina;123456;Escocia;0;5;
25;Alejandro;123456;Haiti;0;5;
26;Monica;123456;Australia;0;6;
27;Rafael;123456;Paraguay;0;6;
28;Patricia;123456;Turquia;0;6;
29;Francisco;123456;Suiza;0;6;
30;Adriana;123456;Qatar;0;6;
31;Manuel;123456;Jordania;0;;
32;Veronica;123456;Uzbekistan;0;;
33;Pablo;123456;RD Congo;0;;
34;Claudia;123456;Cabo Verde;0;;
35;Victor;123456;Arabia Saudita;0;;
36;Silvia;123456;Sudafrica;0;;
37;Hugo;123456;Corea del Sur;0;;
38;Elena;123456;Tunez;0;;
39;Oscar;123456;Iran;0;;
40;Teresa;123456;Nueva Zelanda;0;;
